Arabic Sentence,English Sentence
بعدها رحنا مطعم و كلنا.,"""After that, we went to a restaurant and ate."""
انا كلت فراخ بالبابريكا و اصحابى كلوا فراخ مقرمشه و همبرجر.,I ate chicken paprika and my friends ate crispy chicken and hamburgers.
و بعدها جابولى التورته اللى كانت حلوه جداً طبعاً.,"""Then they got me a cake, which was so good, of course."""
و اتصورنا كتير و انبسطنا.,We took a lot of pictures and we had fun.
و فى المطعم دخنا شيشه و شربت شاى مظبوط.,We smoked hookah and I drank sweet tea.
اعتقد ان اصحابك دول احلى نعمه انت ممكن تحصل عليها فى حياتك.,I believe that your friends are the best blessing you can ever get in your life.
واحد من اصحابى اسمه احمد، سورى الجنسيه هو.,"""One of my friends, whose name’s Ahmed, is Syrian, """
و برغم اللى بيحصل فى بلده و الدمار و الحرب ساعد فى انه يعمللى عيد ميلاد و يبسطنى.,"""and despite what is happening in his country and destruction and the war, he helped to make me a birthday party and make me happy."""
امبارح كان يوم مميز و هفضل دايماً فاكره.,Yesterday was a special day and I will always remember it.
و هنفضل نضحك دايماً لما نفتكره.,And we will all laugh when we remember it.
امبارح مع بداية شهر سبتمبر، كان لازم ادفع لابنى مصاريف الشهر الجديد فى الحضانه.,"""Yesterday, the beginning of September, I needed to pay for my son’s fees for a new month at pre-school."""
و مع تأخير مرتبي، لقيت ان افضل حل انى موديهوش خالص.,"""But with my salary not paid yet, I found that the best solution was not to send him [to school] at all."""
طب و بعدين؟,"""Well, and then?"""
قررت آخده معايا الشغل.,I decided to take him with me to work.
طبعا كان قرار ندمت عليه بعد كده.,And of course it was a decision I later regretted.
طول الطريق للشغل فضلت احفظه الوصايا التلاته: النظام، الهدوء، النضافه.,"""All the way to my work, I kept dictating him the three commandments: Order, Quiet and Cleanliness."""
بصراحه منكرش، الولد كان ملتزم الى حد كبير.,"""To be honest, I can’t deny that the boy was committed to a large extent."""
طلب نسكويك و مسك الـIPAD و فضل يلعب.,He asked for a Nesquik and held the iPad and kept playing.
اكل سندوتش و شرب عصير و دخل الحمام تمان مرات.,"""He ate a sandwich, and drank a juice, and went to the toilet eight times."""
كل ده جميل.,All that was okay.
المشكله بقى حصلت النهارده.,Today was the problem.
خلاص، الحاجات اللى عملها امبارح و كانت مسلياه، اتعود عليها، و بقى عايز اثاره اكتر.,"""Well, the things that he did yesterday and were fun for him, he’d gotten used to, and he needed more excitement."""
بعد ما شرب نسكويك و قعد قدام الكمبيوتر شويه، بدأ يقوم يستكشف المكان، يفتح الدواليب و يقفلها، يفتح فى الادراج، يشم الـUHU، يدبس اى ورق بالدباسه.,"""After drinking Nesquik and playing on the computer for a while, he began exploring the place, opening and closing cupboards, opening drawers, smelling UHU [glue], stapling paper."""
اكتر حاجه ضحكتنى لما لزق tape على عينه، قعد يقوللى: انا مش شايف حاجه!,"""What made me laugh most was when he put tape on his eyes and kept saying, “I can’t see anything!"""
الاسوء كان لما دخل الحمام.,” But the worst was when he went to the toilet.
طبعا انا اعتمدت على انه دخل امبارح تمان مرات، خلاص اتعود و عارف المكان، وسبته يدخل لوحده.,"""I trusted in the fact that he went eight times yesterday, and he is used to and knows the place now, so I let him go by himself."""
فجأه سمعته باعلى صوته بينادي: ماما ماما رحتله جري، خير: يا حبيبي، فيه ايه؟,"""Suddenly, I heard him shouting loudly, “Mom! Mom!, ” I hurried to him and said, “Honey, what’s the matter?"""
لقيته بيقوللي: ماما، انا مش عارف افتح الميه.,"""” He replied, “I can’t turn the faucet on."""
اتغظت منه بصراحه.,"""” Honestly, I was so peeved."""
قلتله: يا حبيبى ما انت استعملتها امبارح.,"""I told him, “Sweetie, you used it yesterday."""
خلص يلا و اخرج.,"""Come-on, finish up and come out."""
و خرجت من عنده و فى نيتى قرار، قرار واحد بس: بكره الصبح هستلف الفلوس و هيروح الحضانه.,” Then and there I had one intention: Tomorrow morning I’ll borrow money and he will go to the pre-school.
العيد فاضل عليه ايام قليله و الناس كلها بتستعد.,"""There are just a few days left until the holiday [the Sacrifice Feast], and everyone is getting ready."""
و اكيد انا واحد من الناس دى، بحيث انى بساعد امى فى تنظيف الشقه.,"""And of course I am one of them, as I help my mother clean our apartment """
و اجيب شويه حاجات من السوق استعداداً للعزومات و الزيارات اللى بتحصل فى العيد.,and get some goods from the market in preparation for meals and visits that take place during the holiday.
كل اللى فات ده كوم و اللى جاى كوم تانى، حيث انى اكتر حاجه بحبها فى تجهيزات العيد هى انى اروح مع ابويا علشان نروح نجيب خروف العيد.,"""All of these things were a far cry from what was next, as the thing I like the most about these preparations is going with my father to buy a sheep."""
و بالفعل جهزنا نفسنا علشان نلف على شوية جزارين.,And we prepared ourselves to look around for some butchers.
و حاطين فى حسابنا المواصفات اللى عايزينها.,And we took into account the qualities that we wanted in it [a sheep].
رحنا لاول جزار، لقينا عنده كذا خروف كويس، بس كانت المشكله ان الخرفان كانت منفوخه و حجمها كبير.,"""We went to the first butcher and found he had some good sheep, but the problem was that the sheep were swollen and their bodies were big."""
و ده بسبب ان الجزار بيحط ملح كتير فى العلف بتاع الخروف، فبيخلى الخروف يشرب ميه كتير فلما تيجى توزنه، بيبقى وزنه كبير بسبب الميه اللى فى جسمه.,"""And this was because the butcher put a lot of salt in the sheep’s feed, and it makes the sheep drink a lot of water, so when you weigh them, they weigh a lot due to the water in their bodies."""
فرحنا لجزار تانى، لقينا عنده خرفان بتجرى و صحتها حلوه و النوع ده مبيبقاش مليان دهون.,"""So we went to another butcher, and we found he had sheep running around and their health was good and this kind of sheep doesn’t have much fat."""
و اتفقنا مع الجزار و كان بيبيع الكيلو بحوالى تمانيه و تلاتين جنيه.,"""So we made the deal with the butcher, who was selling [them] for around 38 Egyptian pounds per kilo."""
و المشكله كانت فى نقل الخروف من الجزار لبيتنا.,The problem was how to transport the sheep to our home.
بعد محاولات كتيره قدرنا نحط الخروف على عربيه نص نقل، وصلته لحد البيت.,"""After many tries, we managed to get the sheep onto a pickup truck, which transported the sheep to the house."""
بس بمجرد ما العربيه وقفت الخروف نط من العربيه و طلع يجرى فى الشارع.,"""But as soon as the car stopped, the sheep jumped out of the vehicle and started to run down the street."""
و طبعاً الشارع كله طلع يجرى وراه، و الحمد لله مسكناه و هديناه شويه، و جبناله شويه برسيم علشان نعرف نطلعه على سلالم العماره و دخلناه البلكونه و ربطناه هناك.,"""All the people in the street started running after him, but thankfully we were able to catch him and calm him down a bit, and we gave him a little alfalfa, so we could get up up the stairs of the apartment building, and we put him on the balcony and tied him up there."""
و احلى حاجه انى كل يوم هاكله بأيدى لحد ما ييجى يوم العيد.,And what’s nice is I’ll feed him by hand every day until the day of the holiday comes.
ازيكم يا جماعه!,Hi. How are you all?
من يومين كان اول يوم فى عيد الاضحى.,Two days ago was the first day of the Sacrifice Feast (Al-Adha).
عيد الاضحى هو تانى و اكبر اعيادنا كمسلمين، بس الحقيقه فى مصر بنحتفل بيه سوا: المسيحيين قبل المسلمين.,"""The Sacrifice Feast is the second and the biggest holiday for us as Muslims, but actually in Egypt we celebrate it together: Christians before Muslims!"""
العيد اربع ايام و اهم حاجه بتميزه هو “دبح الاضحيه”، توزيع لحمتها على القرايب و الفقراء، بس اللى بيقوم بالمهمه دى عندنا هما الرجاله.,"""Al-Adha is four days and the most important thing that distinguishes it is “the slaughter of sacrificial animal” and giving its meat to family and the poor, but the ones who carry out this task here is the men."""
اما انا، فالعيد بالنسبه ليا بيتلخص فى تلات حاجات اساسيه:  الحاجه الاولى هى صلاة العيد.,"""For me, the holiday boils down to main three things: The first is the “Eid Prayer”."""
و دى بتبقى فى اول يوم بعد وقت شروق الشمس بكام دقيقه كده.,It’s performed on the first day within a few minutes after sunrise.
الناس بتنزل من بيوتها و تتجمع فى المساجد و الساحات الواسعه عشان يأدوا الصلاه.,"""People come out of their homes, gather in the mosques and spacious squares to perform the prayer."""
بالنسبه ليا ده اعظم جزء فى العيد و اكترهم بهجه و فرحه لأنه بيتيح ليا انى اتفرج على شروق الشمس على النيل و انا فى طريقى للصلاه.,"""For me that’s the best part of the holiday, and the best part is the joy and pleasure because it allows me to watch the sunrise over the Nile river while I’m on my way to pray."""
ده مش متاح ليا فى الايام العاديه لأن مينفعش انزل لوحدى فى وقت بدرى زى ده لأنى بنت، شىء مؤسف فعلاً!,This isn’t allowed for me on normal days because there’s no way I can go out alone at such an early hour because I’m a girl!
الحاجه التانيه هى الفته.,It’s a real pity!
الفته و ما ادراكم ما الفته!,The second thing is “al-fatta”.
ده افشخ اختراع امى بتعمله.,And what do you know about al-fatta!
و تعتبر الاكله الاساسيه لعيد الاضحى.,"""It’s the best creation my mom cooks, and it’s considered the main meal for the Adha feast."""
عباره عن رز و عيش و لحمه بيتعملوا بطريقه معينه.,"""It consists of rice, bread, and meat prepared in a certain way."""
بس صدقونى: اللى مداقش الفته قبل كده فتوه كتير اوى.,But believe me: he who hasn’t tasted al-fatta before is missing out.
تالت حاجه مهمه ليا هى “العيديه” و ده طقس لازم من طقوس الاعياد من ساعة ما كنت صغيره.,The third thing that is important to me is “al-eidiah” and that’s been an essential holiday ritual ever since I was little.
العيديه ده مبلغ من الفلوس اياً كانت قيمته بناخده من قرايبنا (خال، عم، جد، اياً كان) لما نتجمع فى العيد، اياً كان، انا عمرى ما بكبر على العيديه.,"""“Eidiah” is an amount of money–whatever its value–we get from our relatives (uncle, grandfather, whoever) when we get together on the holiday."""
باقى ايام العيد بقضيها فى البيت، اكل و نوم، نوم و اكل.,"""However, I never get too old for “al-eidiah!"""
مش بقدر اخرج او اتفسح بسبب الزحمه الشديده و اللى بيترتب عليها من تحرش و قرف!,"""” I spend the rest of the days at home, eating and sleeping, sleeping and eating."""
العيد بالنسبه ليا بيكون خلص كده.,I can’t go out or hang out because of the excessive crowds and the harassment and filth that comes with it.
بس مبيكونش خلص بالنسبه للاطفال و الولاد.,"""For me, the holiday is thus over."""
الاطفال بيكونوا مقضيينها لعب فى الشارع طول اليوم بـ”الديناميت و البومب” و دى عباره عن مفرقعات.,"""But it’s not over for kids, and boys."""
و يرموها على اللى رايح و اللى جاى.,Kids spend all day playing in the street with “dynamite and bomb”–which are firecrackers.
مش هنكر ان الحاجات دى زمان كانت ممتعه بالنسبه ليا و كنت بلعب بيها كمان،  بس دلوقتى بقت مجرد ازعاج ليا، او تقدروا تقولوا ان كل ما بكبر بيقل احساسى بالعيد.,And they keep throwing them on everyone who passes by.
و على النقيض الولاد بيحسوا بالعيد بطريقه مختلفه تماماً، مليانه مغامرات و اكشن.,"""I won’t deny that this stuff used to be fun for me, and I’d play with them too, But now it has just become annoying for me, or you can say that the older I get the less I care about the holiday."""
بس الافضل ان واحد منهم هو اللى يحكيلكم تجاربهم.,"""On the other hand, boys feel differently about the holiday all together, full of adventure and action."""
يلا كل سنه و انتو طيبين.,"""But it’d better for one of them to tell you about their experiences Happy Blessed Adha Feast, all of you!"""
كنت المفروض رايح احضر كورس و ده شىء كويس.,"""I had to go attend a course, and this is a good thing."""
لكن اللى مش كويس انى مكنتش اعرف عن المكان غير انه فى محطه اسمها ثكنات المعادى.,"""But the bad thing was that I didn’t know the place, except that it is at a station called Sakanat Elmaadi."""
و ده كان الجزء السهل فى الموضوع.,And this was the easy part.
دخلت المترو، قطعت تذكره و ركبت و نزلت المحطه.,"""I went into  the metro [station], bought a ticket, got on [the train], and got off at the station."""
و اعتمدت على المثل المصرى اللى بيقول (اللى يسأل ميتوهش).,I relied on the Egyptian proverb “He who asks never gets lost.
و لكن نسيت حاجه مهمه ان الناس مبيحبوش يقولوا معرفش.,"""” But I forgot something important: that people [here] don’t like to say, “I don’t know."""
سألت اول واحد قابلته.,” I asked the first person I came across.
قالى: خش يمين و بعدين تانى شمال.,"""He told me, “Turn right, then [take] the second left."""
و لما وصلت هناك ملقيتش السنتر اللى هاخد فيه الكورس.,"""” And when I got there, I didn’t find the center which I was going to take the course at."""
و سألت واحد تانى قالى: انت ايه اللى جابك هنا؟,"""So I asked someone else who said to me, “What brought you here?"""
انت ترجع من مطرح ما جيت و خش شمال و بعدين تانى شمال.,Go back to where you came from and turn left and then the second left.
قلتله شكرا.,"""” I told him, “Thanks!"""
و مشيت و قلت اسأل اى حد و انا ماشى علشان اتأكد.,” I walked and decided to ask anybody while I was walking to make sure.
و المشكله ان كل واحد بقى يقولى طريق مختلف  و من اللحظه دى اتأكدت انى تهت.,The problem was that everyone told me something different.
و لكن الحل المنقذ هو انى سألت واحد من بتوع الديليفرى، لان هما طول النهار على الموتسيكل بيوصلوا طلبات فى عناوين مختلفه.,"""And from that moment, I was sure that I was lost."""
و حافظين الشوارع زى اسمهم.,"""But the solution was to ask a delivery man, as they are on their motorcycles all day delivering orders to different addresses, so they know the streets like the back of their own hands (lit."""
و قالى على الطريق الصح.,like their names).
و الحمد لله وصلت و حضرت الكورس.,He told me the right way.
و لكن و انا راجع مكنتش مركز، فركبت اتجاه غلط فى المترو.,"""Then, thank God, I arrived and attended the class."""
و اكتشفت بعديها بمحطتين.,"""But on my way back [home], I wasn’t paying attention, so I went the wrong way on the metro."""
رحت نزلت لقيت خريطه متعلقه فى المحطه.,"""And I realized this after two stops, so I got off and found a map in the station."""
بصيت فيها و اتأكدت من الاتجاه اللى هركبه.,I looked at it and made sure of the direction I was going to take [the metro].
و لاول مره فى اليوم اركب الاتجاه الصح و انا متأكد.,"""And for the first time that day, I went the right way and was sure of it."""
و عرفت بعد كده انه يأما اعرف العنوان اللى هروحه كويس يأما اسأل بتوع الديليفرى!,I learned from that that I either should know the address I’m going to very well or I should ask a delivery man!
اترددت كتير قبل ما اكتب عن الموضوع ده، بس قررت اكتب عشان جزء منى مصدق ان، بطريقةٍ ما، الكتابه بتشفى الواحد.,"""I’ve been quite hesitant about writing on this topic, but I decided to write on it because part of me believes that writing, somehow, heals us."""
من تلات اسابيع تقريباً، كنت بقلب فى الفيس بوك عادى قبل ما انام،  و كل حاجه كانت طبيعيه لحد ما جيت عند بوست فيه صوره لشخص كان زميلى فى تدريب التنس بقاله تلات سنين، قريت الكلام اللى مكتوب على الصوره، و قريته مرتين كمان و كل مره فيهم كنت بتمنى اكون قريت حاجه غلط.,"""Almost 3 weeks ago, I was checking Facebook before going to bed."""
الصوره كان مكتوب عليها انه توفى فى حادثة عربيه و كان فيها دعاء ليه.,All was well until I saw a picture of a friend of mine whom I knew from tennis practice and had been my friend for 3 years.
احساس الصدمه اللى جالى ساعتها عمرى ما مريت قبل كده.,I read the photo caption.
يمكن مريت بوفاة ناس قريبين ليا قبل كده، بس عمرى ما عدى عليا وفاة حد من سنى!,"""I read it two more times, each time hoping that I read it wrong."""
الفكره نفسها كانت صاعقه.,The photo caption said he died in a car accident and had a prayer for him.
و انا رايحه العزا بتاعه، و انا بلبس اسود، مكنتش قادره استوعب ايه اللى بيحصل، كنت حاسه ان عادى انا نازله اشوف صحابى بس المره دى هيبقى فيه حاجه ناقصه، فيه حد ناقص بمعنى اصح.,It was my first time to experience that kind of shock.
انا عندى عشرين سنه.,"""I may have experienced the loss of close ones before, but I’ve never lost someone my age!"""
وعمرى ما اديت فكرة الموت وقت افكر فيها، و مكانش عندى فلسفه ثابته تجاهها اقدر بيها اواجه الموقف.,The idea itself was terrifying.
وفاة صديقى ده فتحت عينى على حاجات كتير اوى.,"""When I getting ready to go to his funeral and wearing black, I couldn’t comprehend what was happening."""
فى الاول، و لمدة اسابيع، فضلت فكرة الموت بتروح و تيجى فى دماغى، كنت بعانى عشان اقوم من السرير الصبح، و وقفت كل شغلى و اتأخرت كتير فى تسليم الواجبات المطلوبه منى فى الكليه، و مكنتش عايزه اتكلم مع حد.,"""It felt like I was going to meet up with my friends as we normally do, but this time something would be missing."""
بس لما بدأت افوق من الصدمه اتعلمت كتير.,"""Someone would be missing, to be precise."""
وفاة صديقى فكرتنى ان وقتنا فى الدنيا دى محدود، فا لازم يبقى لينا رؤيه لحياتنا، و لازم نفكر ايه الرساله اللى احنا موجودين على الارض هنا عشان نحققها.,I am twenty years old.
و احنا شباب، سهل اوى نقع فى فكره ان عادى نضيع معظم وقتنا فى حاجات ملهاش لازمه و بنقول احنا لسه صغيرين و قدامنا وقت طويل، فا بنأجل قراراتنا المهمه.,I’d never spent the time to contemplate the idea of death.
غلط.,I didn’t have a solid philosophy regarding death to help me face the situation.
نظرتى للوقت كلها اختلفت و بقيت مقدره كل ثانيه من كل يوم و بحاول استغلها.,The death of my friend was eye-opening for me on so many levels.
بابا دايماً بيقولى: مع المشاكل اللى بتقابلك، بتيجى هديه مستخبيه.,"""At first, and for weeks, the idea of death kept roaming back and forth in my mind."""
انا عارفه ان مفيش حاجه فى الدنيا ممكن تعوض وفاة الصديق، بس هعتبر الدرس اللى اتعلمته ده هديه مستخبيه.,I struggled to get out of bed in the morning.
اهلاً بيكم.,I stopped working altogether and delayed delivering all the required assignments at college.
يوم السبت اللى فات ابنى الكبير حمزه جه صحانى من النوم، و قالى: ماما ودينى جنينة الحيوانات.,I didn’t want to speak to anyone.
انا وديته قبل كده مرتين، و من ساعتها و هو متعلق بالمكان.,"""But when I started getting back on my feet, I realized I learned a lot."""
و دايماً يطلب منى اوديه.,The death of my friend has reminded me that our time in this life is limited.
